,Instrument Name,Kotak ID,Fyers ID,Angel One ID,Zerodha ID
0,20 MICRONS LTD,20MICRONS,NSE:20MICRONS-BE,,
1,20 MICRONS LTD,20MICRONS,BSE:20MICRONS-T,,
2,3I INFOTECH LTD,3IINFOLTD,NSE:3IINFOLTD-EQ,,
3,3I INFOTECH LTD,3IINFOLTD,BSE:3IINFOLTD-B,,
4,3I INFOTECH LTD,3IINFOTECH,NSE:3IINFOLTD-EQ,,
5,3I INFOTECH LTD,3IINFOTECH,BSE:3IINFOLTD-B,,
6,3M INDIA LTD,3MINDIA,NSE:3MINDIA-EQ,,
7,3M INDIA LTD,3MINDIA,BSE:3MINDIA-A,,
8,3P LAND HOLDINGS LTD,3PLAND,NSE:3PLAND-BE,,
9,3P LAND HOLDINGS LTD,3PLAND,BSE:3PLAND-T,,
10,5PAISA CAPITAL LTD,5PAISA,NSE:5PAISA-EQ,,
11,5PAISA CAPITAL LTD,5PAISA,BSE:5PAISA-B,,
12,A2Z INFRA ENGINEERING LTD,A2ZINFRA,NSE:A2ZINFRA-EQ,,
13,A2Z INFRA ENGINEERING LTD,A2ZINFRA,BSE:A2ZINFRA-B,,
14,AAKASH EXPLORATION SERVICES LTD,AAKASH,NSE:AAKASH-EQ,,
15,AAREY DRUGS & PHARMACEUTICALS LTD,AREYDRG,NSE:AAREYDRUGS-BE,,
16,AAREY DRUGS & PHARMACEUTICALS LTD,AREYDRG,BSE:AAREYDRUGS-T,,
17,AARON INDUSTRIES LTD,AARON,NSE:AARON-EQ,,
18,AARTI DRUGS LTD,AARTIDRUGS,NSE:AARTIDRUGS-EQ,,
19,AARTI DRUGS LTD,AARTIDRUGS,BSE:AARTIDRUGS-A,,
20,AARTI INDUSTRIES LTD,AARTIIND,NSE:AARTIIND-EQ,,
21,AARTI INDUSTRIES LTD,AARTIIND,BSE:AARTIIND-A,,
22,AARTI SURFACTANTS LTD,AARTISURF,NSE:AARTISURF-BE,,
23,AARTI SURFACTANTS LTD,AARTISURF,BSE:AARTISURF-T,,
24,AARVEE DENIMS & EXPORTS LTD,AARVEEDEN,NSE:AARVEEDEN-BE,,
25,AARVEE DENIMS & EXPORTS LTD,AARVEEDEN,BSE:AARVEEDEN-T,,
26,AARVI ENCON LTD,AARVI,NSE:AARVI-EQ,,
27,AAVAS FINANCIERS LTD,AAVAS,NSE:AAVAS-EQ,,
28,AAVAS FINANCIERS LTD,AAVAS,BSE:AAVAS-A,,
29,ABAN OFFSHORE LTD,ABAN,NSE:ABAN-EQ,,
30,ABAN OFFSHORE LTD,ABAN,BSE:ABAN-B,,
31,ABB INDIA LTD,ABB,NSE:ABB-EQ,,ABB INDIA
32,ABB INDIA LTD,ABB,BSE:ABB-A,,ABB INDIA
33,ABBOTT INDIA LTD,ABBOTINDIA,NSE:ABBOTINDIA-EQ,,
34,ABBOTT INDIA LTD,ABBOTINDIA,BSE:ABBOTINDIA-A,,
35,ACC LTD,ACC,NSE:ACC-EQ,,
36,ACC LTD,ACC,BSE:ACC-A,,
37,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,NSE:ACCELYA-EQ,,
38,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,BSE:ACCELYA-B,,
39,ACCURACY SHIPPING LTD,ACCURACY,,ACCURACY,
40,ACRYSIL LTD,ACRYSIL,NSE:CARYSIL-EQ,,
41,ACRYSIL LTD,ACRYSIL,BSE:CARYSIL-B,,
42,ACTION CONSTRUCTION EQUIPMENT LTD,ACE,NSE:ACE-EQ,,
